"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모"
"3030000","CDFI2262132015000001","20150630","","01","영업/정상","13","영업중","","","","","","","133825","서울특별시 성동구 성수동1가 643번지 ","서울특별시 성동구 뚝섬로 273 (성수동1가)","04770","성동 서울숲 여름캠핑장","20190821175010","U","2019-08-23 02:40:00.0","","203672.17913677     ","448820.845852735    ","일반야영장업","","자연녹지지역","","기타","","DB손해보험","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","2000"
"3040000","CDFI2262132015000001","20150721","","03","폐업","03","폐업","20151007","","","","070 40665975","","143193","서울특별시 광진구 자양동 427-13번지 ","","","(주)엘아이커뮤니케이션즈","20151007172600","I","2018-11-26 13:44:42.0","","206297.741262124    ","447413.748434959    ","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFI2262132015000002","20150908","","03","폐업","03","폐업","20160601","","","","024509327","","","서울특별시 광진구 능동 18-14번지 ","서울특별시 광진구 능동로 216 (능동 어린이대공원)","04991","어린이대공원(캠핑체험장)","20160601154633","I","2018-11-26 13:44:42.0","","207326.867876383    ","449304.553193013    ","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFI2262132016000001","20160713","","03","폐업","03","폐업","20160928","","","","","","","서울특별시 광진구 자양동 435번지 ","","","(주)난지한강여름캠핑장","20160928180541","I","2018-11-26 13:44:42.0","","206301.875888322    ","447369.114975005    ","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFI2262132017000001","20170710","","03","폐업","03","폐업","20171108","","","","02  69598455","","","서울특별시 광진구 자양동 435번지 ","","","(주)한캠프","20171108141442","I","2018-11-26 13:44:42.0","","206301.875888322    ","447369.114975005    ","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFI2262132018000001","20180713","","03","폐업","03","폐업","20180903","","","","02  69598455","","","서울특별시 광진구 자양동 427-12번지 ","","","(주)한캠프","20190129164102","U","2019-01-31 02:40:00.0","","206230.832828856    ","447438.075924422    ","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3080000","CDFI2262132015000001","20150717","","03","폐업","03","폐업","20161103","","","","02   9016923","","","서울특별시 강북구 번동 산 17번지 ","","","오동근린공원 임시캠핑장","20161103172832","I","2018-11-26 13:44:42.0","","202863.8709372      ","458850.655391668    ","일반야영장업","","녹지지역","","","","","","","","","","","","","","","","","","","15000","","","","","","","","","","","","","15000"
"3080000","CDFI2262132021000001","20210419","","01","영업/정상","13","영업중","","","","","02-944-2941","","","서울특별시 강북구 우이동 317 우이동 가족캠핑장 방문자센터 ","서울특별시 강북구 삼양로181길 28 우이동 가족캠핑장 (우이동)","01000","우이동 가족캠핑장","20220112164129","U","2022-01-14 02:40:00.0","","200948.846189643    ","462561.261924929    ","일반야영장업","","","0","","","","","0","0","0","24954","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0"
"3090000","CDFI2262132021000001","20210914","","01","영업/정상","13","영업중","","","","","02-954-0249","","","서울특별시 도봉구 도봉동 469-10 ","서울특별시 도봉구 도봉로169길 249 1층 (도봉동)","01313","무수아취 야영장","20220120132224","U","2022-01-22 02:40:00.0","","","","일반야영장업","","자연녹지지역","1","기타","","","기타","1","0","0","0","","","0","0","","0","0","","0","161.94","","0","","","","","","","0","","","","162"
"3100000","CDFI2262132015000001","20150703","","03","폐업","03","폐업","20180208","","","","000221163946","","139052","서울특별시 노원구 월계동 산 3-1번지 ","서울특별시 노원구 마들로5가길 66-107 (월계동)","01866","초안산 임시캠핑장","20180716130854","I","2018-11-26 13:44:42.0","","204326.575706642    ","459998.193364129    ","일반야영장업","","녹지지역","","기타","","","","","","","","","","","","","","","","","4700","","","","","","","","","","","","","4700"
"3110000","CDFI2262132016000001","20161006","","01","영업/정상","13","영업중","","","","","","","","서울특별시 은평구 진관동 330-14 북한산글램핑장 ","서울특별시 은평구 북한산로 232-1 북한산글램핑장 (진관동)","03308","북한산 캠핑장","20220106174153","U","2022-01-08 02:40:00.0","","194453.569951258    ","460859.542618718    ","일반야영장업","","자연녹지지역","0","","","NH농협손해보험","","0","0","0","0","","","0","0","","0","0","","0","4933","","0","","","","","","","0","","","","4933"
"3160000","CDFI2262132020000001","20200731","","01","영업/정상","13","영업중","","","","","02-860-2321","","","서울특별시 구로구 항동 149-1 ","서울특별시 구로구 연동로12길 149 (항동)","08368","천왕산 가족캠핑장","20200731102033","I","2020-08-01 00:23:22.0","","185004.520207159    ","441962.871693858    ","일반야영장업","","자연녹지지역","","기타","","","","","","","336","","","","","","","","","","335.52","","","","","","","","","","","","","336"
"3160000","CDFI2262132015000001","20150703","","01","영업/정상","13","영업중","","","","","0002 8603086","","152130","서울특별시 구로구 천왕동 230-1 일대 ","","","천왕근린공원","20201006143127","U","2020-10-08 02:40:00.0","","","","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3180000","CDFI2262132015000001","20150714","","03","폐업","03","폐업","20150823","","","","070 40665975","","150010","서울특별시 영등포구 여의도동 83-6번지 ","","","2015 한강여름캠핑장(여의도양화)","20160121174848","I","2018-11-26 13:44:42.0","","193249.499819026    ","447795.437111319    ","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0"
"3180000","CDFI2262132016000001","20160714","","03","폐업","03","폐업","20160928","","","","","","","서울특별시 영등포구 여의도동 83-6번지 ","서울특별시 영등포구 여의서로 62 (여의도동)","07240","2016 한강여름캠핑장(여의도)","20160929111617","I","2018-11-26 13:44:42.0","","193249.499819026    ","447795.437111319    ","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","10000000","","","","0"
"3180000","CDFI2262132017000001","20170717","","03","폐업","03","폐업","20171130","","","","02  69598455","","","서울특별시 영등포구 여의도동 84-9번지 ","서울특별시 영등포구 여의서로 62 (여의도동)","07240","(주)한캠프","20171130164903","I","2018-11-26 13:44:42.0","","193626.951304553    ","447669.267978117    ","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","23670","","0","","","","","","","0","","","","23670"
"3180000","CDFI2262132018000001","20180713","","03","폐업","03","폐업","20180827","","","","69598455","","","서울특별시 영등포구 여의도동 83-6번지 ","서울특별시 영등포구 여의서로 62 (여의도동)","07240","(주)한캠프","20180912125608","I","2018-11-26 13:44:42.0","","193249.499819026    ","447795.437111319    ","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0"
"3210000","CDFI2262132015000001","20150702","","03","폐업","03","폐업","20151001","","","","02  578 7089","","137132","서울특별시 서초구 양재동 236번지 ","서울특별시 서초구 매헌로 99 (양재동)","06773","시민의숲 임시캠핑장","20151001181308","I","2018-11-26 13:44:42.0","","203093.373057701    ","440988.316143937    ","일반야영장업","","녹지지역","","기타","","","","","","","","","","","","","","","","","1500","","","","","","","","","","","","","1500"
"3210000","CDFI2262132015000002","20150703","","03","폐업","03","폐업","20150930","","","","21556861","","137132","서울특별시 서초구 양재동 200번지 ","서울특별시 서초구 바우뫼로12길 40 (양재동)","06769","문화예술공원 캠핑장","20150930162819","I","2018-11-26 13:44:42.0","","202682.151815177    ","440677.067208734    ","일반야영장업","","자연녹지지역","","기타","","","","","","","","","","","","","","","","","4157","","","","","","","","","","","","","4157"
"3210000","CDFI2262132015000003","20150720","","03","폐업","03","폐업","20151001","","","","070 40665975","","137030","서울특별시 서초구 잠원동 121번지 ","서울특별시 서초구 잠원로 221-124 (잠원동 잠원한강공원 일대)","06513","한강여름캠핑장","20151001181513","I","2018-11-26 13:44:42.0","","200753.815592237    ","446314.687402426    ","일반야영장업","","","","","","","","","","","","","","","","","","","","","14147","","","","","","","","","","","","","14147"
"3210000","CDFI2262132015000004","20151028","","03","폐업","03","폐업","20151106","","","","02  579 7766","","","서울특별시 서초구 잠원동 121-8번지 ","서울특별시 서초구 잠원로 221-124 (잠원동 한강공원잠원안내센터)","06513","(사)한국캠핑캐라바닝연맹","20151106165032","I","2018-11-26 13:44:42.0","","201015.009715991    ","446493.163455058    ","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3210000","CDFI2262132016000001","20160701","","03","폐업","03","폐업","20160829","","","","02  578 7089","","","서울특별시 서초구 양재동 236번지 ","서울특별시 서초구 매헌로 99 (양재동 양재시민의숲)","06773","시민의숲 임시캠핑장","20160907155731","I","2018-11-26 13:44:42.0","","203093.373057701    ","440988.316143937    ","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3210000","CDFI2262132016000002","20160715","","03","폐업","03","폐업","20160928","","","","","","","서울특별시 서초구 잠원동 121번지 ","서울특별시 서초구 잠원로 221-124 (잠원동 한강공원 잠원지구)","06513","잠원캠핑장","20160928105105","I","2018-11-26 13:44:42.0","","200753.815592237    ","446314.687402426    ","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3210000","CDFI2262132017000001","20170711","","03","폐업","03","폐업","20170820","","","","000269598455","","","서울특별시 서초구 잠원동 121번지 ","서울특별시 서초구 잠원로 221-124 (잠원동 한강공원 잠원지구)","06513","2017년 한강여름캠핑장(잠원)","20180402133055","I","2018-11-26 13:44:42.0","","200753.815592237    ","446314.687402426    ","일반야영장업","","","","","","","","","","","","","","","","","","","","","14147","","","","","","","","","100000000","","","","14147"
"3210000","CDFI2262132020000001","20200407","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 원지동 207-1 ","서울특별시 서초구 청계산로 140-94 (원지동)","06805","서울 서초 글램핑 청계산장","20210930173525","U","2021-10-02 02:40:00.0","","204037.305842134    ","438472.816944022    ","일반야영장업","","","0","","","한화손해보험","","0","0","0","197","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0"
"3230000","CDFI2262132015000001","20150723","","03","폐업","03","폐업","20151006","","","","07040665975","","138889","서울특별시 송파구 잠실동 1-1번지 ","서울특별시 송파구 한가람로 65 (잠실동)","05502","(주)엘아이커뮤니케이션즈","20151006183602","I","2018-11-26 13:44:42.0","","207280.548175724    ","446256.122690837    ","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100000000","","","",""
"3230000","CDFI2262132016000001","20160809","","03","폐업","03","폐업","20180502","","","","0221473394","","","서울특별시 송파구 장지동 851번지 ","","","장지공원 임시 캠핑장","20180502142844","I","2018-11-26 13:44:42.0","","211840.144507023    ","442558.701396125    ","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3240000","CDFI2262132015000001","20150520","","01","영업/정상","13","영업중","","","","","02-478-4079","","134882","서울특별시 강동구 둔촌동 562-9번지 ","서울특별시 강동구 천호대로206길 87 (둔촌동)","05357","강동그린웨이 가족캠핑장","20200214102118","U","2020-02-16 02:40:00.0","","213618.89044200000  ","448496.73758000000  ","일반야영장업","","자연녹지지역","","","","","","","","","403","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262132015000002","20150616","","01","영업/정상","13","영업중","","","","","02-3780-0871","","121270","서울특별시 마포구 상암동 495-81","서울특별시 마포구 한강난지로 28 (상암동)","03900","한강공원 난지캠핑장","20220715101839","U","2021-12-06 23:07:00.0","","188696.594570334","451925.885396731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262132015000001","20150504","","01","영업/정상","13","영업중","","","","","02-300-5576","","121270","서울특별시 마포구 상암동 478-1","서울특별시 마포구 하늘공원로 108-1 (상암동)","03900","노을공원 가족캠핑장","20220624144906","U","2021-12-05 22:06:00.0","","188821.62627565","452533.065957761","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""