,상호명,위도,경도,행정동
0,금천 관광 추천코스,37.4781198925424,126.888105599941,가산동
1,아름다운가게 ,37.56204153633671,127.0589605909244,용답동
3,목동 로데오거리,37.5280222216231,126.86186596999,신정동
4,동묘 벼룩시장,37.57339034139535,127.02302724679333,숭인동
5,에뛰드하우스,37.562135526091744,126.98525219323442,명동2가
6,마이분 (Myboon),37.523333865123845,127.04412547104602,청담동
7,씨제이더마켓 제일제당센터점,37.56397353413195,127.00325523671569,쌍림동
8,통인가게 ,37.5735340952996,126.985840853516,관훈동
9,DDP 이니스프리 셀프스토어,37.567430277878465,127.00999480820519,을지로7가
10,고투몰,37.50622022337287,127.0050521324991,잠원동
11,디어얼스,37.5696776355135,126.91350779541064,남가좌동
12,남대문시장,37.55918176072071,126.9776267740439,남창동
13,신평화 패션타운,37.5694294408567,127.011595645719,신당동
14,IFC몰,37.52517788629538,126.92487874285696,여의도동
15,교보 핫트랙스 광화문점,37.570617248848755,126.97786332996704,종로1가
16,서울풍물시장 ,37.5728186254633,127.025392943199,신설동
17,아이파크몰,37.52968200913392,126.96578815221102,한강로3가
18,메세나폴리스,37.55127012438749,126.91330273740712,서교동
21,올리브영 명동 플래그십,37.564086173466876,126.98517257821166,명동1가
22,스타일난다 ,37.5545448791863,126.927447703008,서교동
24,밀리오레 명동점,37.5610496904418,126.984211134416,충무로1가
25,아시안무드,37.5809725031565,126.966851531287,누상동
26,자비시주얼리,37.526569855885306,127.03453171485921,신사동
27,컬처앤네이처,37.52292812840406,127.03986044929827,청담동
28,레어마켓 (Rare Market),37.524844596229016,127.04478928565408,청담동
29,정샘물 플롭스,37.5213541552034,127.022497672095,신사동
30,카카오프렌즈 강남 플래그십 스토어,37.5008934694709,127.025811882515,서초동
32,가든파이브라이프,37.47697881366138,127.12573400501913,문정동
33,루미에르 붙임머리,37.5218278680877,127.02359736558,신사동
34,코엑스몰,37.5130779481089,127.058215118259,삼성동
36,삼성 딜라이트,37.4969757433213,127.026493567781,서초동
37,롯데마트 서울역점,37.557442821166354,126.96951028445368,봉래동2가
38,갤러리아백화점 WEST,37.528474618448,127.040094190992,압구정동
39,테크노마트,37.5354056214823,127.095655661312,구의동
40,콴챈루거리,37.563067756279345,126.98301094876228,명동2가
42,에비수,37.5628660289974,126.98369123389,명동2가
44,제2롯데월드몰,37.51401684559573,127.10506857715367,신천동
46,이태원 앤틱 가구거리,37.5325898598738,126.99443809604,이태원동
47,알맹상점,37.5536763586566,126.91164086835,합정동
48,신세계백화점 강남점,37.505305732081965,127.00432032924516,반포동
49,이대 패션거리,37.557613223826,126.944952018913,대현동
51,갤러리아 명품관,37.52842774945761,127.04014394421372,압구정동
52,종각지하쇼핑센터,37.57037496435083,126.98394881544229,종로2가
53,청계5가 지하쇼핑센터,37.5689749864705,127.00223218220093,방산동
56,현대백화점 본점,37.527371799149506,127.02747045214494,압구정동
58,명동지하쇼핑센터,37.5635649701203,126.982089504774,남대문로2가
60,이마트 왕십리점,37.5636827331765,127.03804854312,행당동
61,MCM 스페이스,37.5618680143201,126.985942662689,충무로2가
62,K-STAR ROAD 강남 한류스타거리,37.527665161178874,127.02899557058296,압구정동
63,서촌구루루,37.578423365289865,126.96934890046494,누하동
64,평화시장,37.5694549490117,127.008263202137,을지로6가
65,연서시장,37.6193188027045,126.921444923417,불광동
66,증산종합시장 ,37.5814687626598,126.9050598105,증산동
69,해방촌 신흥시장,37.54530936937983,126.98508577153345,용산동2가
70,설화수 플래그십 스토어,37.523434082724,127.035494094345,신사동
71,동대문 쇼핑타운,37.5674907870025,127.008140738255,을지로6가
72,명동 쇼핑,37.5625022206325,126.985163837409,명동2가
73,통인시장,37.58075890736317,126.96999438158632,통인동
74,광장시장,37.5700570984866,126.99894954612,예지동
77,종로 귀금속 거리,37.57064517492355,126.99189514126103,종로3가
79,숭인시장,37.6131424747141,127.029452321438,미아동
80,현대백화점 무역센터점,37.508651435836725,127.05977475920854,삼성동
82,북촌상회　,37.5790806861345,126.986428490671,계동
83,한국관광명품점,37.5727123226471,126.985306707557,관훈동
84,신세계면세점,37.56026711864722,126.98079324400408,충무로1가
85,마이시티 상암점,37.578397326238395,126.89152402892736,상암동
86,송림수제화,37.5665860310386,126.989844574501,을지로3가
87,공덕시장,37.544816368668684,126.95337467321116,공덕동
88,한신옹기,37.53920166197662,126.98649229622005,용산동2가
89,제일시장,37.6106239273941,126.929468127288,대조동
90,스타일난다 핑크 호텔 (명동 플래그십 스토어),37.56193641120608,126.98529524208892,충무로2가
91,상생상회,37.576042205536,126.983825338188,안국동
92,롯데백화점 본점,37.564905601247865,126.98175414832635,소공동
94,문정동 로데오거리,37.4898756388539,127.123364097715,문정동
95,뚝섬 아름다운 나눔장터,37.5296012161776,127.073188834241,자양3동
97,Addicted,37.5257183009046,127.037825622139,신사동
99,라뷰티코아 청담 세이엇데이점,37.5254108686649,127.041092602451,청담동
101,새김소리,37.5734727864295,126.985501263233,관훈동
103,강남역 지하쇼핑센터,37.49808633653005,127.02800140627488,역삼동
104,이영애화장품 삼청동하우스,37.5816423742922,126.981066258088,팔판동
105,남성사계시장,37.488406745823,126.98063300359,사당동
106,망원시장,37.5562395487368,126.90562827497,망원동
107,젠틀몬스터 홍대 플래그십스토어,37.5498485152532,126.919916606921,서교동
109,마리오아울렛,37.4787528096286,126.886643952852,가산동
113,갤러리아백화점 EAST,37.52797664522159,127.0418814074669,압구정동
114,어라운드더코너 가로수길점,37.52234165805619,127.02247760640724,신사동
115,용산전자랜드,37.5329472681101,126.960138744633,한강로3가
116,엔터식스 왕십리점,37.561703921452,127.038735688303,행당동
117,우연수집,37.5545397930578,126.977474247961,후암동
118,젠틀몬스터 신사 플래그쉽 스토어,37.5221074728979,127.022077080808,신사동
119,가락몰,37.4950514206204,127.115850389752,가락동
121,영천시장,37.5703284466099,126.961852991914,영천동
122,더현대서울,37.525872071029134,126.92844612411159,여의도동
123,서울 중앙시장,37.56737408602461,127.01976321851687,황학동
126,동대문역 창신동 완구 도매 시장,37.57123111690101,127.01444849541853,창신동
127,타임스퀘어,37.5174496335566,126.903331121684,영등포동4가
128,두타(DOOTA),37.568750340187734,127.00868533599005,을지로6가
129,홍대앞 예술시장 프리마켓,37.5522465823191,126.923403025643,서교동
130,종오지하쇼핑센터,37.57088953274586,127.00005886229495,종로4가
131,소공 지하쇼핑센터,37.5644692445028,126.980056449689,소공동
132,회현지하쇼핑센터,37.5605808390375,126.981891020353,충무로1가
133,서울약령시장,37.5783981751522,127.036824325922,제기동
135,동대문 헌책방 거리,37.5695485930325,127.009073686472,을지로6가
136,명동 M플라자,37.5625022206325,126.985163837409,명동2가
139,용산전자상가,37.5329472681101,126.960138744633,한강로3가
140,낙원악기상가,37.5721035404676,126.987862850589,낙원동
141,롯데 영플라자 명동점,37.56351445812219,126.98172279565257,남대문로2가
144,광희패션몰,37.5686725757815,127.011885303402,신당동
145,한사토이,37.51401684559573,127.10506857715367,신천동
146,아티지 (ARTAGE),37.5265663427584,127.034219475245,신사동
147,에이바이봄,37.5242068259933,127.041956225775,청담동
148,카카오프렌즈 홍대 플래그십 스토어,37.5563194254356,126.923919460392,동교동
149,커먼그라운드,37.54105555235208,127.0656686600397,자양동
150,더 피커,37.5479293603116,127.044177308783,성수동1가
151,쌈지길,37.5743520602942,126.984731319433,관훈동
152,아모레 플래그십 스토어 (성수),37.5445477220243,127.059040730967,성수동2가
