"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","현황도형 생성일시","면적(도형)","길이(도형)"
"53301","11000UQ171PS201912150157","UQQ900"," "," ","UQQ900","11000EZZ201006071964","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","16253.19388700","573.65399170"
"53300","11000UQ171PS201912150156","UQQ900"," "," ","UQQ900","11000EZZ200906251859","11000NTC200906253496","성수전략정비구역 제1종지구단위계획구역","11000"," ","2019-12-15 00:00:00.0","647991.39747000","3852.91992188"
"53299","11000UQ171PS201912150155","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","32968.96407070","899.64501953"
"53298","11000UQ171PS201912150141","UQQ900"," "," ","UQQ900","11000EZZ200812231764","11000NTC200811202367","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","14722.67940010","489.71099854"
"53297","11000UQ171PS201912150140","UQQ900"," "," ","UQQ900","11000EZZ200901301815","11000NTC200901152681","방배동 주택재건축사업 예정지역","11000"," ","2019-12-15 00:00:00.0","8109.06780338","388.97799683"
"53296","11000UQ171PS201912150139","UQQ900"," "," ","UQQ900","11000EZZ201211152099","11000NTC201102175940","개발행위허가제한","11000"," ","2019-12-15 00:00:00.0","24048.06703040","724.74102783"
"53295","11000UQ171PS201912150138","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","296.11563565","86.45320129"
"53294","11000UQ171PS201912150137","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1242.58655617","169.60699463"
"53293","11000UQ171PS201912150136","UQQ900"," "," ","UQQ900","11000EZZ201004061943","11000NTC201003104602","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","42060.22086740","975.78100586"
"53292","11000UQ171PS201912150135","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1059.90227023","150.55499268"
"53291","11000UQ171PS201912150134","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","235.93794015","62.25809860"
"53290","11000UQ171PS201912150133","UQQ900"," "," ","UQQ900","11000EZZ201311012119","11000NTC201205176492","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","11700.94218980","663.23999023"
"53289","11000UQ171PS201912150132","UQQ900"," "," ","UQQ900","11000EZZ201611232154","11000NTC201606177803","주택재건축정비예정구역_선경아파트","11000"," ","2019-12-15 00:00:00.0","78636.15601510","1321.95996094"
"53288","11000UQ171PS201912150131","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","174.25970849","102.96199799"
"53287","11000UQ171PS201912150130","UQQ900"," "," ","UQQ900","11000EZZ201302072108","11000NTC201103035981","개발행위허가제한구역","11000"," ","2019-12-15 00:00:00.0","124006.66204400","1889.91003418"
"53286","11000UQ171PS201912150129","UQQ900"," "," ","UQQ900","11000EZZ201110042037","11000NTC201110056257","행위제한지역","11000"," ","2019-12-15 00:00:00.0","43267.32422880","844.89099121"
"53285","11000UQ171PS201912150128","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","135.61055944","47.93709946"
"53284","11000UQ171PS201912150127","UQQ900"," "," ","UQQ900","11000EZZ200912181896","11000NTC200912174264","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","31625.28338570","714.31298828"
"53283","11000UQ171PS201912150126","UQQ900"," "," ","UQQ900","11000EZZ200810271709","11000NTC200810022242","용산지구단위계획구역내 특별계획구역 검토지역","11000"," ","2019-12-15 00:00:00.0","52165.53283210","1218.18994141"
"53282","11000UQ171PS201912150125","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","540.69003335","102.26999664"
"53281","11000UQ171PS201912150124","UQQ900"," "," ","UQQ900","11000EZZ200901151786","11000NTC200812112468","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","105739.33157200","1702.47998047"
"53280","11000UQ171PS201912150123","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","775.72654077","113.54499817"
"53279","11000UQ171PS201912150122","UQQ900"," "," ","UQQ900","11000EZZ200901021773","11000NTC200810302311","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","438567.41300700","5558.25976563"
"53278","11000UQ171PS201912150121","UQQ900"," "," ","UQQ900","11000EZZ200904151831","11000NTC200903052929","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","163882.28142400","1868.41003418"
"53277","11000UQ171PS201912150120","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","660.43884163","118.33200073"
"53276","11000UQ171PS201912150119","UQQ900"," "," ","UQQ900","11000EZZ200901131780","11000NTC200808072111","개발행위허가 제한(연장) 및 지형도면","11000"," ","2019-12-15 00:00:00.0","435323.53594400","3580.11010742"
"53275","11000UQ171PS201912150263","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","2319.72911430","298.29000854"
"53274","11000UQ171PS201912150262","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","304.97549653","69.99819946"
"53273","11000UQ171PS201912150261","UQQ900"," "," ","UQQ900","11000EZZ201004061941","11000NTC201003104602","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","16520.05061910","687.94299316"
"53272","11000UQ171PS201912150260","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","240.85301320","79.07309723"
"53271","11000UQ171PS201912150259","UQQ900"," "," ","UQQ900","11000EZZ200906041853","11000NTC200902032739","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","23886.96106280","677.34100342"
"53270","11000UQ171PS201912150258","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","15213.69946410","647.26397705"
"53269","11000UQ171PS201912150257","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","853.45968552","118.96800232"
"53268","11000UQ171PS201912150256","UQQ900"," "," ","UQQ900","11000EZZ200810271711","11000NTC200810022242","용산제1종지구단위계획구역내 특별계획구역 검토지역","11000"," ","2019-12-15 00:00:00.0","20865.77461130","676.95300293"
"53267","11000UQ171PS201912150255","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","403.35882674","89.60299683"
"53266","11000UQ171PS201912150254","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1187.94617965","133.29499817"
"53265","11000UQ171PS201912150253","UQQ900"," "," ","UQQ900","11000EZZ200812231763","11000NTC200811202367","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","17013.33216510","566.82501221"
"53264","11000UQ171PS201912150252","UQQ900"," "," ","UQQ900","11000EZZ200901301819","11000NTC200901152681","방배동 주택재건축사업 예정지역","11000"," ","2019-12-15 00:00:00.0","16915.70515780","723.75097656"
"53263","11000UQ171PS201912150238","UQQ900"," "," ","UQQ900","11000EZZ200912181894","11000NTC200912174264","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","59585.65724170","1468.65002441"
"53262","11000UQ171PS201912150251","UQQ900"," "," ","UQQ900","11000EZZ201006091969","11000NTC201004204789","개발행위허가제한지역 8 (사당 3)","11000"," ","2019-12-15 00:00:00.0","22290.53969320","920.63500977"
"53261","11000UQ171PS201912150250","UQQ900"," "," ","UQQ900","11000EZZ201011092017","11000NTC201010215486","주택재건축정비계획수립지역","11000"," ","2019-12-15 00:00:00.0","60800.39966350","1343.80004883"
"53260","11000UQ171PS201912150249","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1713.93653776","166.02000427"
"53259","11000UQ171PS201912150248","UQQ900"," "," ","UQQ900","11000EZZ201007121993","11000NTC201007015113","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","41114.57761310","904.31097412"
"53258","11000UQ171PS201912150247","UQQ900"," "," ","UQQ900","11000EZZ200907281865","11000NTC200906053434","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","19183.99790080","733.85797119"
"53257","11000UQ171PS201912150246","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1121.59151244","150.41200256"
"53256","11000UQ171PS201912150245","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","2072.32650144","202.39700317"
"53255","11000UQ171PS201912150244","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","409.47608407","86.71880341"
"53254","11000UQ171PS201912150243","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","604.86350726","100.21299744"
"53253","11000UQ171PS201912150242","UQQ900"," "," ","UQQ900","11000EZZ201010072005","11000NTC201008125276","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","7733.71707570","872.27398682"
"53252","11000UQ171PS201912150241","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","68275.71889900","1050.09997559"
"53251","11000UQ171PS201912150240","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","831.55919964","120.90799713"
"53250","11000UQ171PS201912150239","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","89662.35642950","1486.03002930"
"53249","11000UQ171PS201912150237","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","208.07430651","65.00180054"
"53248","11000UQ171PS201912150236","UQQ900"," "," ","UQQ900","11000EZZ201611142145","11000NTC201608267859","주택재건축정비(개포주공7단지)","11000"," ","2019-12-15 00:00:00.0","54027.39117550","941.85797119"
"53247","11000UQ171PS201912150235","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","2062.32643171","212.91000366"
"53246","11000UQ171PS201912150234","UQQ900"," "," ","UQQ900","11000EZZ200901301811","11000NTC200901152681","방배동 주택재건축사업 예정지역","11000"," ","2019-12-15 00:00:00.0","31001.15467660","876.32098389"
"53245","11000UQ171PS201912150219","UQQ900"," "," ","UQQ900","11000EZZ201006231974","11000NTC201006175052","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","16426.39534450","724.45300293"
"53244","11000UQ171PS201912150233","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","540.94277640","96.93789673"
"53243","11000UQ171PS201912150232","UQQ900"," "," ","UQQ900","11000EZZ201005141950","11000NTC201005124905","개발행위허가제한지역 4","11000"," ","2019-12-15 00:00:00.0","116736.50881900","1546.56994629"
"53242","11000UQ171PS201912150231","UQQ900"," "," ","UQQ900","11000EZZ201007051992","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","32469.79785030","899.09197998"
"53241","11000UQ171PS201912150230","UQQ900"," "," ","UQQ900","11000EZZ201007051984","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","52411.16871000","1005.48999023"
"53240","11000UQ171PS201912150229","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","50844.05069450","934.25701904"
"53239","11000UQ171PS201912150228","UQQ900"," "," ","UQQ900","11000EZZ200901301817","11000NTC200901152681","방배동 주택재건축사업 예정지역","11000"," ","2019-12-15 00:00:00.0","82528.48925850","1872.06005859"
"53238","11000UQ171PS201912150227","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1166.34627540","140.93200684"
"53237","11000UQ171PS201912150226","UQQ900"," "," ","UQQ900","11000EZZ201006091968","11000NTC201004204789","개발행위허가제한지역 7 (사당 2)","11000"," ","2019-12-15 00:00:00.0","48675.27429900","1149.09997559"
"53236","11000UQ171PS201912150225","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","148.41194803","47.66329956"
"53235","11000UQ171PS201912150224","UQQ900"," "," ","UQQ900","11000EZZ200906041850","11000NTC200902032739","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","55265.67780550","1925.68994141"
"53234","11000UQ171PS201912150223","UQQ900"," "," ","UQQ900","11000EZZ200901151787","11000NTC200812112468","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","35800.75957360","1168.76000977"
"53233","11000UQ171PS201912150222","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","2547.30128932","230.60200500"
"53232","11000UQ171PS201912150221","UQQ900"," "," ","UQQ900","11000EZZ200810281713","11000NTC200810022243","용산지구단위계획구역내 특별계획구역 검토지역","11000"," ","2019-12-15 00:00:00.0","20854.84436560","761.17297363"
"53231","11000UQ171PS201912150220","UQQ900"," "," ","UQQ900","11000EZZ201004091944","11000NTC201003114622","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","205672.30615500","2168.69995117"
"53230","11000UQ171PS201912150200","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","10932.48363330","698.39001465"
"53229","11000UQ171PS201912150199","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1246.28061068","171.58000183"
"53228","11000UQ171PS201912150198","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","649.91510661","106.28199768"
"53227","11000UQ171PS201912150197","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","601.33464807","106.97299957"
"53226","11000UQ171PS201912150196","UQQ900"," "," ","UQQ900","11000EZZ201004061940","11000NTC201003104602","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","12382.59025440","455.01699829"
"53225","11000UQ171PS201912150195","UQQ900"," "," ","UQQ900","11000EZZ201010072011","11000NTC201008125276","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","19422.58749150","760.61700439"
"53224","11000UQ171PS201912150194","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","764.37531472","110.19300079"
"53223","11000UQ171PS201912150193","UQQ900"," "," ","UQQ900","11000EZZ201001041901","11000NTC200912314328","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","93916.46618800","1813.81994629"
"53222","11000UQ171PS201912150192","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","978.03901780","133.76800537"
"53221","11000UQ171PS201912150191","UQQ900"," "," ","UQQ900","11000EZZ200901061775","11000NTC200812042417","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","33770.56138240","913.42901611"
"53220","11000UQ171PS201912150190","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","486.94659757","93.02770233"
"53219","11000UQ171PS201912150189","UQQ900"," "," ","UQQ900","11000EZZ201006151971","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","28915.10414050","681.58099365"
"53218","11000UQ171PS201912150188","UQQ900"," "," ","UQQ900","11000EZZ200911171887","11000NTC200911044038","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","52472.71059840","1212.66003418"
"53217","11000UQ171PS201912150187","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","624.84584953","108.03199768"
"53216","11000UQ171PS201912150186","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","15952.64683630","602.86401367"
"53215","11000UQ171PS201912150185","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","18678.49248700","700.65997314"
"53214","11000UQ171PS201912150184","UQQ900"," "," ","UQQ900","11000EZZ200901301799","11000NTC200901152681","방배동 주택재건축사업 예정지역","11000"," ","2019-12-15 00:00:00.0","178949.03533900","1782.77001953"
"53213","11000UQ171PS201912150183","UQQ900"," "," ","UQQ900","11000EZZ200907211863","11000NTC200907093570","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","47073.92264330","1522.66003418"
"53212","11000UQ171PS201912150182","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","13371.52510860","570.78198242"
"53211","11000UQ171PS201912150181","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","299.92275202","129.99000549"
"53210","11000UQ171PS201912150180","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","343.33296578","95.38800049"
"53209","11000UQ171PS201912150179","UQQ900"," "," ","UQQ900","11000EZZ201007121994","11000NTC201007015113","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","318907.93375300","3295.67993164"
"53208","11000UQ171PS201912150003","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","467.09310068","90.25489807"
"53207","11000UQ171PS201912150002","UQQ900"," "," ","UQQ900","11000EZZ201201172045","11000NTC201010275499","마장제2주택재개발정비예정구역","11000"," ","2019-12-15 00:00:00.0","33190.57092280","951.35198975"
"53206","11000UQ171PS201912150001","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","344.54120240","78.28500366"
"53205","11000UQ171PS201912150102","UQQ900"," "," ","UQQ900","11000EZZ201007051988","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","14839.59286540","502.43600464"
"53204","11000UQ171PS201912150101","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","16849.33346070","729.73999023"
"53203","11000UQ171PS201912150100","UQQ900"," "," ","UQQ900","11000EZZ200812231750","11000NTC200811202367","재건축예정구역내 개발행위허가(건축허가)제한 및 지","11000"," ","2019-12-15 00:00:00.0","10446.69053560","443.05099487"
"53202","11000UQ171PS201912150099","UQQ900"," "," ","UQQ900","11000EZZ200906041856","11000NTC200902032739","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","19073.01244660","728.39501953"
"53201","11000UQ171PS201912150098","UQQ900"," "," ","UQQ900","11000EZZ201004061939","11000NTC201003104602","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","12103.30938830","437.92800903"
"53200","11000UQ171PS201912150097","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1168.16247844","162.38699341"
"53199","11000UQ171PS201912150096","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","2056.56257307","267.27801514"
"53198","11000UQ171PS201912150079","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","109.03274128","50.26779938"
"53197","11000UQ171PS201912150078","UQQ900"," "," ","UQQ900","11000EZZ201007051991","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","54761.87264680","945.19897461"
"53196","11000UQ171PS201912150095","UQQ900"," "," ","UQQ900","11000EZZ200901061776","11000NTC200812042417","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","30860.14142410","885.53399658"
"53195","11000UQ171PS201912150094","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","360.65699793","89.42389679"
"53194","11000UQ171PS201912150093","UQQ900"," "," ","UQQ900","11000EZZ201001081908","11000NTC200912314367","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","14411.08740380","1088.90002441"
"53193","11000UQ171PS201912150092","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","3156.82612931","326.74798584"
"53192","11000UQ171PS201912150091","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1575.71135539","166.44799805"
"53191","11000UQ171PS201912150090","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1639.46606119","180.64799500"
"53190","11000UQ171PS201912150089","UQQ900"," "," ","UQQ900","11000EZZ201007051987","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","14609.40157340","548.06402588"
"53189","11000UQ171PS201912150088","UQQ900"," "," ","UQQ900","11000EZZ201110042035","11000NTC201110056257","행위제한지역","11000"," ","2019-12-15 00:00:00.0","71353.69267040","1199.01000977"
"53188","11000UQ171PS201912150087","UQQ900"," "," ","UQQ900","11000EZZ200812121737","11000NTC200810162271","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","23394.62285070","933.72802734"
"53187","11000UQ171PS201912150086","UQQ900"," "," ","UQQ900","11000EZZ201005191958","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","24047.89484600","724.74102783"
"53186","11000UQ171PS201912150085","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","517.13155400","94.53019714"
"53185","11000UQ171PS201912150084","UQQ900"," "," ","UQQ900","11000EZZ200912181900","11000NTC200912174264","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","20688.27542220","638.60699463"
"52896","11000UQ171PS201912150083","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","541.91591715","106.90200043"
"52895","11000UQ171PS201912150082","UQQ900"," "," ","UQQ900","11000EZZ201010072004","11000NTC201008125276","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","19114.21497380","838.26300049"
"52894","11000UQ171PS201912150081","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","12121.58089210","560.77001953"
"52893","11000UQ171PS201912150080","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","5712.60327819","537.65997314"